,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,Popularity,MSRP,Avg Mileage
0,BMW,1 Series M,2011,premium unleaded ,335,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,46135,22.5
1,BMW,1 Series,2011,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Convertible,3916,40650,23.5
2,BMW,1 Series,2011,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,36350,24.0
3,BMW,1 Series,2011,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,29450,23.0
4,BMW,1 Series,2011,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Convertible,3916,34500,23.0
5,BMW,1 Series,2012,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,31200,23.0
6,BMW,1 Series,2012,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Convertible,3916,44100,21.5
7,BMW,1 Series,2012,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,39300,24.0
8,BMW,1 Series,2012,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Convertible,3916,36900,23.0
9,BMW,1 Series,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Convertible,3916,37200,22.5
10,BMW,1 Series,2013,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,39600,24.0
11,BMW,1 Series,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,31500,23.5
12,BMW,1 Series,2013,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Convertible,3916,44400,23.5
13,BMW,1 Series,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Convertible,3916,37200,23.5
14,BMW,1 Series,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,31500,23.5
15,BMW,1 Series,2013,premium unleaded ,320,6,MANUAL,rear wheel drive,2,Compact,Convertible,3916,48250,21.5
16,BMW,1 Series,2013,premium unleaded ,320,6,MANUAL,rear wheel drive,2,Compact,Coupe,3916,43550,24.0
17,Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,3105,2000,20.5
18,Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,3105,2000,20.5
19,Audi,100,1992,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3105,2000,18.0
20,Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,3105,2000,20.5
21,Audi,100,1992,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,3105,2000,18.5
22,Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,3105,2000,20.5
23,Audi,100,1993,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3105,2000,18.0
24,Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,3105,2000,20.5
25,Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,3105,2000,20.5
26,Audi,100,1993,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,3105,2000,18.5
27,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,Wagon,3105,2000,18.5
28,Audi,100,1994,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,3105,2000,19.0
29,Audi,100,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,3105,2000,19.5
30,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,3105,2000,19.0
31,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3105,2000,18.5
32,FIAT,124 Spider,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Compact,Convertible,819,27495,30.5
33,FIAT,124 Spider,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Compact,Convertible,819,24995,30.5
34,FIAT,124 Spider,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Compact,Convertible,819,28195,30.5
35,Mercedes-Benz,190-Class,1991,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,617,2000,22.0
36,Mercedes-Benz,190-Class,1991,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,Sedan,617,2000,21.0
37,Mercedes-Benz,190-Class,1992,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,Sedan,617,2000,21.0
38,Mercedes-Benz,190-Class,1992,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,617,2000,22.0
39,Mercedes-Benz,190-Class,1993,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,617,2000,22.0
40,Mercedes-Benz,190-Class,1993,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,Sedan,617,2000,21.0
41,BMW,2 Series,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,3916,32850,29.0
42,BMW,2 Series,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,2,Compact,Convertible,3916,38650,28.5
43,BMW,2 Series,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,3916,48750,25.5
44,BMW,2 Series,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,3916,34850,29.0
45,BMW,2 Series,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,3916,40650,28.0
46,BMW,2 Series,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,3916,44150,25.5
47,BMW,2 Series,2016,premium unleaded ,240,4,MANUAL,rear wheel drive,2,Compact,Coupe,3916,32850,28.0
48,BMW,2 Series,2016,premium unleaded ,320,6,AUTOMATIC,all wheel drive,2,Compact,Coupe,3916,46150,25.0
49,BMW,2 Series,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,3916,50750,25.0
50,BMW,2 Series,2017,premium unleaded ,335,6,AUTOMATIC,all wheel drive,2,Compact,Coupe,3916,46450,26.0
51,BMW,2 Series,2017,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,3916,49050,26.5
52,BMW,2 Series,2017,premium unleaded ,335,6,AUTOMATIC,all wheel drive,2,Compact,Convertible,3916,51050,26.5
53,BMW,2 Series,2017,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,3916,44450,26.5
54,BMW,2 Series,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,2,Compact,Convertible,3916,38950,28.5
55,BMW,2 Series,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,3916,33150,29.5
56,BMW,2 Series,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,3916,35150,28.5
57,BMW,2 Series,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,3916,40950,28.0
58,Audi,200,1990,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Midsize,Sedan,3105,2000,18.0
59,Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Midsize,Wagon,3105,2000,18.5
60,Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Midsize,Sedan,3105,2000,19.0
61,Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,Midsize,Sedan,3105,2000,19.0
62,Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,Midsize,Wagon,3105,2000,19.0
63,Audi,200,1991,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Midsize,Sedan,3105,2000,18.0
64,Chrysler,200,2015,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,25170,29.5
65,Chrysler,200,2015,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,23950,29.5
66,Chrysler,200,2015,flex-fuel ,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,1013,29370,23.5
67,Chrysler,200,2015,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,21995,29.5
68,Chrysler,200,2015,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,26625,29.5
69,Chrysler,200,2015,flex-fuel ,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,1013,30825,23.5
70,Chrysler,200,2016,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,21995,29.5
71,Chrysler,200,2016,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,27795,29.5
72,Chrysler,200,2016,flex-fuel ,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,1013,31785,23.5
73,Chrysler,200,2016,flex-fuel ,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,1013,29905,23.5
74,Chrysler,200,2016,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,22490,29.5
75,Chrysler,200,2016,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,27570,29.5
76,Chrysler,200,2016,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,25690,29.5
